premis_cd	premis_desc
872	MTA - ORANGE LINE - VAN NUYS
969	MTA - GOLD LINE - HERITAGE SQ
921	MTA - PURPLE LINE - WILSHIRE/NORMANDIE
918	MTA - PURPLE LINE - 7TH AND METRO CENTER
912	MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY
898	MTA - SILVER LINE - PACIFIC COAST HWY
871	MTA - ORANGE LINE - WOODMAN
922	MTA - PURPLE LINE - WILSHIRE/WESTERN
916	MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK
915	MTA - PURPLE LINE - UNION STATION
903	MTA - RED LINE - 7TH AND METRO CENTER
913	MTA - RED LINE - NORTH HOLLYWOOD
902	MTA - RED LINE - PERSHING SQUARE
901	MTA - RED LINE - CIVIC CENTER/GRAND PARK
801	MTA BUS
962	MTA - GOLD LINE - SOTO
909	MTA - RED LINE - HOLLYWOOD/WESTERN
910	MTA - RED LINE - HOLLYWOOD/VINE
920	MTA - PURPLE LINE - WILSHIRE/VERMONT
879	MTA - ORANGE LINE - DE SOTO
908	MTA - RED LINE - VERMONT/SUNSET
900	MTA - RED LINE - UNION STATION
889	MTA - SILVER LINE - LAC/USC MEDICAL CENTER
869	MTA - ORANGE LINE - LAUREL CANYON
907	MTA - RED LINE - VERMONT/SANTA MONICA
911	MTA - RED LINE - HOLLYWOOD/HIGHLAND
884	MTA - ORANGE LINE - NORDHOFF
919	MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK
906	MTA - RED LINE - VERMONT/BEVERLY
882	MTA - ORANGE LINE - SHERMAN WAY
890	MTA - SILVER LINE - UNION STATION
874	MTA - ORANGE LINE - WOODLEY
897	MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CTR
894	MTA - SILVER LINE - MANCHESTER
905	MTA - RED LINE - WILSHIRE/VERMONT
895	MTA - SILVER LINE - HARBOR FWY
754	MUSEUM
891	MTA - SILVER LINE - DOWNTOWN STREET STOPS
802	MUNICIPAL BUS LINE INCLUDES LADOT/DASH
893	MTA - SILVER LINE - SLAUSON
203	OTHER BUSINESS
135	MTA PROPERTY OR PARKING LOT
136	"OTHER INTERSTATE, CHARTER BUS"
406	OTHER STORE
123	PARKING UNDERGROUND/BUILDING
502	"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
756	MUSCLE BEACH
811	"OTHER RR TRAIN (UNION PAC, SANTE FE ETC"
109	PARK/PLAYGROUND
211	PAWN SHOP
740	OTHER PLACE OF WORSHIP
147	POOL-PUBLIC/OUTDOOR OR INDOOR*
904	MTA - RED LINE - WESTLAKE/MACARTHUR PARK
892	MTA - SILVER LINE - 37TH ST/USC
896	MTA - SILVER LINE - ROSECRANS
220	NAIL SALON
732	POST OFFICE
249	NURSERY/FLOWER SHOP
303	OIL REFINERY
225	RECORD-CD MUSIC/COMPUTER GAME STORE
510	NURSING/CONVALESCENT/RETIREMENT HOME
735	NIGHT CLUB (OPEN EVENINGS ONLY)
105	PEDESTRIAN OVERCROSSING
234	OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*
726	POLICE FACILITY
706	SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB
108	PARKING LOT
702	OFFICE BUILDING/OFFICE
710	OTHER PREMISE
411	PET STORE
805	RETIRED (DUPLICATE) DO NOT USE THIS CODE
723	PRIVATE SCHOOL/PRESCHOOL
601	SAVINGS & LOAN
709	PUBLIC RESTROOM(INDOORS-INSIDE)
125	PAY PHONE
504	OTHER RESIDENCE
116	OTHER/OUTSIDE
511	PROJECT/TENEMENT/PUBLIC HOUSING
146	PATIO*
119	"PORCH, RESIDENTIAL"
148	PUBLIC RESTROOM/OUTSIDE*
210	RESTAURANT/FAST FOOD
727	SHOPPING MALL (COMMON AREA)
501	SINGLE FAMILY DWELLING
102	SIDEWALK
803	RETIRED (DUPLICATE) DO NOT USE THIS CODE
739	SPORTS ARENA
742	"SPORTS VENUE, OTHER"
741	STAPLES CENTER *
235	PHARMACY INSIDE STORE OR SUPERMARKET*
221	PUBLIC STORAGE
705	SLIPS/DOCK/MARINA/BOAT
149	RIVER BED*
737	SKATING RINK*
101	STREET
736	SKATEBOARD FACILITY/SKATEBOARD PARK*
138	STAIRWELL*
519	SHORT-TERM VACATION RENTAL
238	TELECOMMUNICATION FACILITY/LOCATION
516	SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS
729	SPECIALTY SCHOOL/OTHER
129	"TERMINAL, OTHER THAN MTA"
233	TATTOO PARLOR*
417	THE BEVERLY CONNECTION
224	SURPLUS SURVIVAL STORE
216	SWAP MEET
716	THEATRE/MOVIE
154	TRAIN TRACKS
415	THE GROVE
254	STUDIO (FILM/PHOTOGRAPHIC/MUSIC)
730	SYNAGOGUE/TEMPLE
120	STORAGE SHED
251	RECYCLING CENTER
212	TRANSPORTATION FACILITY (AIRPORT)
158	TRANSIENT ENCAMPMENT
152	UNDERPASS/BRIDGE*
518	TRANSITIONAL HOUSING/HALFWAY HOUSE
156	VALET
416	THE BEVERLY CENTER
150	TOOL SHED*
114	TAXI
157	"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)"
223	VIDEO RENTAL STORE
244	TOBACCO SHOP
122	"VEHICLE, PASSENGER/TRUCK"
151	TOW YARD*
107	VACANT LOT
106	TUNNEL
213	WAREHOUSE
755	VETERINARIAN/ANIMAL HOSPITAL
745	WATER FACILITY
751	WEBSITE
121	YARD (RESIDENTIAL/BUSINESS)
724	TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*
215	"TRAIN DEPOT/TERMINAL, OTHER THAN MTA"
126	"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)"
127	TRASH CAN/TRASH DUMPSTER
113	"TRUCK, COMMERICAL"
206	TV/RADIO/APPLIANCE
236	VISION CARE FACILITY*
